,temp,dem9
2002-05-11,  18.8, 343.8
2002-05-12,  19.9, 315.3
2002-05-13,  19.7, 361.7
2002-05-14,  22.3, 375.6
2002-05-15,  16.1, 376.6
2002-05-16,  15.8, 378.3
2002-05-17,  16.7, 375.6
2002-05-18,  15.3, 345.4
2002-05-19,  11.5, 347.3
2002-05-20,  11.4, 394.5
2002-05-21,  10.8, 406.9
2002-05-22,  12.4, 401.5
2002-05-23,  14.5, 386.3
2002-05-24,  16.8, 375.6
2002-05-25,  17.5, 343.8
2002-05-26,  17.9, 315.3
2002-05-27,  17.8, 361.7
2002-05-28,  13.5, 385.2
2002-05-29,  11.9, 405.5
2002-05-30,   9.9, 423.2
2002-05-31,  10.8, 413.3
2002-06-01,  15.3, 345.4
2002-06-02,  14.8, 320.9
2002-06-03,  17.2, 361.7
2002-06-04,  16.9, 369.2
2002-06-05,  13.5, 392.7
2002-06-06,  11.2, 412.7
2002-06-07,  12.6, 398.9
2002-06-08,  10.8, 381.5
2002-06-09,  11.2, 349.7
2002-06-10,   5.6, 441.0
2002-06-11,   6.2, 443.7
2002-06-12,   0.3, 498.5
2002-06-13,   6.0, 454.4
2002-06-14,   6.7, 446.2
2002-06-15,   8.0, 404.0
2002-06-16,   8.3, 373.0
2002-06-17,   9.7, 408.2
2002-06-18,   9.3, 418.9
2002-06-19,  10.7, 415.1
2002-06-20,  11.2, 412.7
2002-06-21,   6.6, 447.0
2002-06-22,   4.2, 434.4
2002-06-23,   4.2, 405.9
2002-06-24,   0.1, 485.1
2002-06-25,   6.4, 442.1
2002-06-26,   8.5, 432.7
2002-06-27,  11.6, 409.5
2002-06-28,  10.7, 414.1
2002-06-29,  11.0, 379.9
2002-06-30,   7.8, 377.0
2002-07-01,   8.0, 421.8
2002-07-02,  10.0, 413.3
2002-07-03,  10.2, 419.1
2002-07-04,   9.4, 427.2
2002-07-05,   9.2, 426.1
2002-07-06,   6.9, 412.8
2002-07-07,   7.4, 380.2
2002-07-08,   6.2, 436.2
2002-07-09,   5.6, 448.5
2002-07-10,   6.2, 451.2
2002-07-11,   8.5, 434.4
2002-07-12,  10.0, 419.7
2002-07-13,  10.7, 382.3
2002-07-14,  13.1, 334.5
2002-07-15,  12.1, 388.9
2002-07-16,  11.0, 405.3
2002-07-17,   8.7, 431.1
2002-07-18,  10.0, 422.4
2002-07-19,  11.7, 406.1
2002-07-20,  15.3, 345.4
2002-07-21,  15.4, 316.1
2002-07-22,  11.9, 390.5
2002-07-23,   9.6, 416.5
2002-07-24,  11.5, 408.7
2002-07-25,   9.2, 428.8
2002-07-26,   8.4, 432.5
2002-07-27,   8.3, 401.6
2002-07-28,   7.7, 377.8
2002-07-29,  10.7, 400.1
2002-07-30,  12.8, 390.8
2002-07-31,   9.0, 428.7
2002-08-01,   7.9, 439.2
2002-08-02,   8.0, 435.8
2002-08-03,   8.2, 402.4
2002-08-04,  11.3, 348.9
2002-08-05,   7.8, 423.4
2002-08-06,   8.2, 427.7
2002-08-07,   9.7, 423.1
2002-08-08,  12.3, 403.9
2002-08-09,  11.6, 406.9
2002-08-10,  13.6, 359.1
2002-08-11,  13.2, 333.7
2002-08-12,  10.7, 400.1
2002-08-13,  10.9, 406.1
2002-08-14,   7.7, 439.2
2002-08-15,   9.9, 423.2
2002-08-16,  12.2, 402.1
2002-08-17,  17.5, 343.8
2002-08-18,  18.6, 315.3
2002-08-19,  15.6, 361.7
2002-08-20,  11.6, 400.4
2002-08-21,  11.1, 411.9
2002-08-22,  12.1, 405.5
2002-08-23,  15.0, 379.6
2002-08-24,  20.2, 343.8
2002-08-25,  23.0, 336.7
2002-08-26,  21.7, 361.7
2002-08-27,  23.0, 390.7
2002-08-28,  19.3, 376.6
2002-08-29,  12.5, 402.3
2002-08-30,   8.7, 430.1
2002-08-31,   7.2, 410.4
2002-09-01,   6.7, 385.8
2002-09-02,   8.2, 420.2
2002-09-03,  10.5, 409.3
2002-09-04,  13.1, 395.9
2002-09-05,  13.7, 392.7
2002-09-06,  11.0, 411.7
2002-09-07,   9.4, 392.7
2002-09-08,  10.4, 356.2
2002-09-09,  11.9, 390.5
2002-09-10,  14.1, 380.4
2002-09-11,  14.5, 384.6
2002-09-12,  12.3, 403.9
2002-09-13,  11.4, 408.5
2002-09-14,  11.4, 376.7
2002-09-15,  11.6, 346.5
2002-09-16,  13.3, 379.3
2002-09-17,  18.0, 369.2
2002-09-18,  16.8, 376.6
2002-09-19,  12.1, 405.5
2002-09-20,  12.1, 402.9
2002-09-21,  12.8, 365.5
2002-09-22,  13.7, 329.7
2002-09-23,  11.8, 391.3
2002-09-24,  16.2, 369.2
2002-09-25,  18.1, 376.6
