,0
2016-04-08,1016.8248792270315
2016-04-09,-6266.3973429951875
2016-04-10,-10392.064009661844
2016-04-11,5925.1582125603745
2016-04-12,6934.6026570048125
2016-04-13,6916.3804347825935
2016-04-14,8490.158212560375
2016-04-15,8725.380434782594
2016-04-16,-9495.286231884063
2016-04-17,-15080.95289855072
2016-04-18,3567.8248792270315
2016-04-19,1425.4915458937176
2016-04-20,-2614.2862318840635
2016-04-21,-6241.508454106282
2016-04-22,425.3804347825935
2016-04-23,-7537.508454106282
2016-04-24,-15152.619565217406
2016-04-25,765.8248792270315
2016-04-26,2249.7137681159365
2016-04-27,1942.6026570048125
2016-04-28,1220.1582125603745
2016-04-29,3339.9359903381555
2016-04-30,7066.6026570048125
2016-05-01,-13402.286231884063
2016-05-02,646.8248792270315
2016-05-03,3185.1582125603745
2016-05-04,2869.6026570048125
2016-05-05,4121.8248792270315
2016-05-06,2983.4915458937176
2016-05-07,-5124.508454106282
2016-05-08,-16154.508454106282
2016-05-09,2523.4915458937176
2016-05-10,5578.6026570048125
2016-05-11,6049.713768115937
2016-05-12,5840.04710144928
2016-05-13,3128.1582125603745
2016-05-14,-6002.95289855072
2016-05-15,-15460.397342995188
2016-05-16,-4284.8417874396255
2016-05-17,-2770.2862318840635
2016-05-18,-1110.5084541062824
2016-05-19,-2076.6195652174065
2016-05-20,8357.602657004812
2016-05-21,-9493.619565217406
2016-05-22,-16301.064009661844
2016-05-23,1006.2693236714986
2016-05-24,2712.9359903381555
2016-05-25,-3430.8417874396255
2016-05-26,-4918.0640096618445
2016-05-27,-1752.6195652174065
2016-05-28,-7225.95289855072
2016-05-29,-12010.95289855072
2016-05-30,1662.4915458937176
2016-05-31,4792.04710144928
2016-06-01,6234.2270531401155
2016-06-02,9288.782608695677
2016-06-03,10891.227053140115
2016-06-04,-6384.550724637666
2016-06-05,-8774.884057971009
2016-06-06,5508.893719806772
2016-06-07,6359.0048309178965
2016-06-08,3773.1159420289914
2016-06-09,7253.2270531401155
2016-06-10,7285.449275362334
2016-06-11,-3765.3285024154466
2016-06-12,-9434.66183574876
2016-06-13,6624.671497584553
2016-06-14,9743.782608695677
2016-06-15,9188.560386473458
2016-06-16,7069.449275362334
2016-06-17,7778.3381642512395
2016-06-18,-5817.9951690821035
2016-06-19,-11530.217391304323
2016-06-20,7947.115942028991
2016-06-21,9774.004830917896
2016-06-22,4629.449275362334
2016-06-23,324.8937198067724
2016-06-24,5493.449275362334
2016-06-25,-9831.995169082104
2016-06-26,-15152.217391304323
2016-06-27,-9565.884057971009
2016-06-28,8122.671497584553
2016-06-29,10840.33816425124
2016-06-30,10486.782608695677
2016-07-01,9341.115942028991
2016-07-02,-2722.5507246376656
2016-07-03,-11386.884057971009
