time,down2total,lat,lon
2020-03-24,0.7052979,-34.5,-58.125
2020-03-25,0.35959083,-34.5,-58.125
2020-03-26,0.56263846,-34.5,-58.125
2020-03-27,0.68257046,-34.5,-58.125
2020-03-28,0.6301397,-34.5,-58.125
2020-03-29,0.6136356,-34.5,-58.125
2020-03-30,0.6461525,-34.5,-58.125
2020-03-31,0.5248123,-34.5,-58.125
2020-04-01,0.54251546,-34.5,-58.125
2020-04-02,0.7514162,-34.5,-58.125
2020-04-03,0.73105836,-34.5,-58.125
2020-04-04,0.7284931,-34.5,-58.125
2020-04-05,0.5060022,-34.5,-58.125
2020-04-06,0.7488987,-34.5,-58.125
2020-04-07,0.75028104,-34.5,-58.125
2020-04-08,0.75242645,-34.5,-58.125
2020-04-09,0.6579819,-34.5,-58.125
2020-04-10,0.737326,-34.5,-58.125
2020-04-11,0.7298509,-34.5,-58.125
2020-04-12,0.69698447,-34.5,-58.125
2020-04-13,0.421017,-34.5,-58.125
2020-04-14,0.7408676,-34.5,-58.125
2020-04-15,0.7451556,-34.5,-58.125
2020-04-16,0.7283939,-34.5,-58.125
2020-04-17,0.69762754,-34.5,-58.125
2020-04-18,0.70375305,-34.5,-58.125
2020-04-19,0.7268324,-34.5,-58.125
2020-04-20,0.7111691,-34.5,-58.125
2020-04-21,0.6271884,-34.5,-58.125
2020-04-22,0.32569417,-34.5,-58.125
2020-04-23,0.51159096,-34.5,-58.125
2020-04-24,0.2592145,-34.5,-58.125
2020-04-25,0.19974114,-34.5,-58.125
2020-04-26,0.6963665,-34.5,-58.125
2020-04-27,0.4370814,-34.5,-58.125
2020-04-28,0.2958321,-34.5,-58.125
2020-04-29,0.73405725,-34.5,-58.125
2020-04-30,0.7330882,-34.5,-58.125
2020-05-01,0.68776876,-34.5,-58.125
2020-05-02,0.67917025,-34.5,-58.125
2020-05-03,0.6563572,-34.5,-58.125
2020-05-04,0.3086985,-34.5,-58.125
2020-05-05,0.6493212,-34.5,-58.125
2020-05-06,0.6029172,-34.5,-58.125
2020-05-07,0.72345406,-34.5,-58.125
2020-05-08,0.63918316,-34.5,-58.125
2020-05-09,0.7003139,-34.5,-58.125
2020-05-10,0.6865758,-34.5,-58.125
2020-05-11,0.64991766,-34.5,-58.125
2020-05-12,0.69779783,-34.5,-58.125
2020-05-13,0.7142526,-34.5,-58.125
2020-05-14,0.74184495,-34.5,-58.125
2020-05-15,0.5913207,-34.5,-58.125
2020-05-16,0.6727935,-34.5,-58.125
2020-05-17,0.66837704,-34.5,-58.125
2020-05-18,0.6857375,-34.5,-58.125
2020-05-19,0.7051395,-34.5,-58.125
2020-05-20,0.46276268,-34.5,-58.125
2020-05-21,0.5587624,-34.5,-58.125
2020-05-22,0.22946951,-34.5,-58.125
2020-05-23,0.58529466,-34.5,-58.125
2020-05-24,0.47401112,-34.5,-58.125
2020-05-25,0.631888,-34.5,-58.125
2020-05-26,0.6491452,-34.5,-58.125
2020-05-27,0.7124401,-34.5,-58.125
2020-05-28,0.6907734,-34.5,-58.125
2020-05-29,0.6168079,-34.5,-58.125
2020-05-30,0.5178656,-34.5,-58.125
2020-05-31,0.6539329,-34.5,-58.125
2020-06-01,0.67621875,-34.5,-58.125
2020-06-02,0.7079773,-34.5,-58.125
2020-06-03,0.51439995,-34.5,-58.125
2020-06-04,0.66757965,-34.5,-58.125
2020-06-05,0.25198653,-34.5,-58.125
2020-06-06,0.51461095,-34.5,-58.125
2020-06-07,0.53033715,-34.5,-58.125
2020-06-08,0.4926454,-34.5,-58.125
2020-06-09,0.5629627,-34.5,-58.125
2020-06-10,0.6919253,-34.5,-58.125
2020-06-11,0.7082394,-34.5,-58.125
2020-06-12,0.63843316,-34.5,-58.125
2020-06-13,0.73957056,-34.5,-58.125
2020-06-14,0.7220001,-34.5,-58.125
2020-06-15,0.50420797,-34.5,-58.125
2020-06-16,0.5443362,-34.5,-58.125
2020-06-17,0.2666988,-34.5,-58.125
2020-06-18,0.6716822,-34.5,-58.125
2020-06-19,0.6911547,-34.5,-58.125
2020-06-20,0.5958264,-34.5,-58.125
2020-06-21,0.67072505,-34.5,-58.125
2020-06-22,0.60924244,-34.5,-58.125
2020-06-23,0.46297115,-34.5,-58.125
2020-06-24,0.32690245,-34.5,-58.125
2020-06-25,0.7000645,-34.5,-58.125
2020-06-26,0.6797208,-34.5,-58.125
2020-06-27,0.5511234,-34.5,-58.125
2020-06-28,0.53567696,-34.5,-58.125
2020-06-29,0.5748091,-34.5,-58.125
2020-06-30,0.21745151,-34.5,-58.125
2020-07-01,0.69665605,-34.5,-58.125
2020-07-02,0.38261697,-34.5,-58.125
2020-07-03,0.55191016,-34.5,-58.125
2020-07-04,0.519543,-34.5,-58.125
2020-07-05,0.6958353,-34.5,-58.125
2020-07-06,0.6130942,-34.5,-58.125
2020-07-07,0.43703333,-34.5,-58.125
2020-07-08,0.5337635,-34.5,-58.125
2020-07-09,0.5373646,-34.5,-58.125
2020-07-10,0.6057264,-34.5,-58.125
2020-07-11,0.677884,-34.5,-58.125
2020-07-12,0.5263325,-34.5,-58.125
2020-07-13,0.6706783,-34.5,-58.125
2020-07-14,0.7412462,-34.5,-58.125
2020-07-15,0.7114348,-34.5,-58.125
2020-07-16,0.51124984,-34.5,-58.125
2020-07-17,0.5813608,-34.5,-58.125
2020-07-18,0.34050587,-34.5,-58.125
2020-07-19,0.22154371,-34.5,-58.125
2020-07-20,0.4868308,-34.5,-58.125
2020-07-21,0.21250658,-34.5,-58.125
2020-07-22,0.18895087,-34.5,-58.125
2020-07-23,0.18129182,-34.5,-58.125
2020-07-24,0.65193456,-34.5,-58.125
2020-07-25,0.702337,-34.5,-58.125
2020-07-26,0.627477,-34.5,-58.125
2020-07-27,0.4649549,-34.5,-58.125
2020-07-28,0.7457893,-34.5,-58.125
2020-07-29,0.7357465,-34.5,-58.125
2020-07-30,0.74209815,-34.5,-58.125
2020-07-31,0.36011428,-34.5,-58.125
2020-08-01,0.56962436,-34.5,-58.125
2020-08-02,0.31139332,-34.5,-58.125
2020-08-03,0.42842647,-34.5,-58.125
2020-08-04,0.69678754,-34.5,-58.125
