fecha	hora	demanda
2020-10-23	4	7764,6483263184
2020-10-18	20	8140,623086248599
2020-09-11	12	9302,551117109704
2020-09-18	12	7832,325192507497
2020-09-25	14	9949,426829905098
2020-05-14	7	7947,4841803749
2020-06-20	15	9578,461221598589
2020-11-25	5	7967,5756309781
2020-05-06	10	8540,609789207198
2021-01-05	24	9724,979221623997
2021-02-19	24	9463,109676115695
2021-02-06	2	8547,667481300901
2020-04-30	3	8003,366285962503
2020-07-10	24	9121,2408971861
2021-01-30	7	7650,198637492502
2020-11-12	20	9279,417548011907
2020-07-02	1	8458,142018275797
2020-09-29	13	9759,4688604576
2021-02-19	10	9607,30342447056
2020-05-04	5	7363,058108717697
2020-09-21	18	9007,104707615597
2020-05-14	22	9504,529172466997
2020-06-21	9	7323,704031350301
2022-06-17	21	10784,959722090807
2021-02-07	21	8696,730420327054
2020-07-17	23	9291,522908787007
2020-08-05	23	9056,386851273603
2020-11-10	15	9961,492407352305
2021-01-13	11	9633,082059631104
2020-07-04	8	7431,4275330279
2020-09-11	14	9151,368243263592
2020-06-29	23	9202,779185764899
2020-05-22	3	7708,595101904302
2020-11-26	24	9524,126511689
2020-08-18	5	7729,915230156597
2020-05-06	1	8536,084134191597
2020-05-06	3	7884,0419542894015
2020-09-22	9	8697,244617398303
2021-02-04	1	8924,659088512803
2020-06-09	8	8359,741180317102
2020-08-31	3	7933,4770887319
2020-05-05	22	9401,19599251029
2021-02-10	22	10087,072739380641
2020-08-07	12	9112,236018091797
2020-09-29	23	9358,534144275702
2020-06-21	19	9511,099012636796
2020-09-27	1	8050,444447848197
2020-08-12	3	7898,835744404707
2021-02-10	21	9781,943353640401
2021-02-02	6	7997,271922138101
2020-08-15	4	7464,361423586002
2020-11-19	9	9030,168985092296
2020-06-26	16	10124,007737865202
2020-10-08	16	9181,309057014301
2021-01-12	21	9705,135465553998
2020-05-24	10	7306,141352235398
2020-07-15	6	7631,8896606511025
2021-02-06	10	8704,265343451954
2020-06-23	5	7699,7159098928
2020-11-29	19	8418,549564356701
2020-08-11	4	7817,780484837206
2020-09-22	15	9373,17788205181
2020-09-10	21	9537,078989601796
2020-08-01	7	7529,494480203008
2020-12-24	22	9804,995795229896
2020-05-20	10	9095,548192222994
2020-10-18	17	7992,137628441701
2020-08-02	23	8968,485241239096
2020-07-01	2	8114,780416046998
2020-07-21	17	9851,953000939988
2020-08-10	19	9752,778831221105
2020-06-20	7	7646,992613158
2020-05-21	5	7406,9560138358
2020-06-27	7	7699,635783208996
2020-07-31	20	9487,839857557203
2021-01-14	20	9509,745270643807
2020-11-26	7	8186,269430493204
2020-07-20	3	7469,560674893503
2020-09-06	14	8097,79002215969
2020-04-30	11	9210,3027832169
2020-10-23	20	9075,381242472502
2020-08-18	18	9532,738154908404
2020-11-18	12	9540,760877516097
2021-01-19	12	10233,5089846884
2020-09-06	5	7247,725749883701
2020-05-21	24	8833,700340046204
2020-05-28	21	10004,148218602491
2020-10-10	21	8856,580966133099
2020-09-03	16	9053,414292194502
2020-09-17	12	9041,671420791896
2020-09-24	23	9360,0537283865
2020-05-06	17	9111,492009129
2020-12-23	9	9455,960267465798
2020-06-24	16	9928,1314316617
2020-06-23	13	9974,52801962689
2020-09-03	17	9040,838563474801
2020-11-05	11	9399,715863171208
2020-08-30	8	7240,477515197702
2020-05-06	21	9474,819720199099
2020-08-12	19	9822,059379975606
2020-06-25	9	8857,161369381898
2020-05-10	24	8432,061091399795
2020-09-18	9	7178,756530195502
2020-12-12	21	9215,700587201298
2020-10-13	2	7934,2711026941
2021-01-19	15	10658,3603103068
2020-09-15	15	9347,74667554519
2021-02-28	22	9907,526152238797
2021-02-21	12	8821,125319278031
2020-07-09	21	9479,685818502701
2020-09-22	10	9117,660111725696
2021-02-03	16	10024,756405460093
2020-08-05	2	7909,8564144869015
2020-07-17	2	7962,126475562701
2020-08-01	17	8634,401911030596
2020-09-25	10	9398,4186303923
2020-09-20	17	7804,496165096
2020-09-14	18	8880,076062837195
2020-10-28	22	9758,237597507195
2020-08-15	10	7859,6421504969
2020-06-28	20	9677,371222322292
2020-09-11	22	9522,502865177901
2020-10-31	10	8072,811393052995
2020-05-12	24	8856,551423526706
2020-05-30	9	7926,848302256308
2020-12-16	17	10286,611056745502
2020-05-22	12	9416,631124585203
2020-07-04	5	7403,026883207701
2020-07-23	7	7681,0253120157995
2020-09-09	10	9178,40462760379
2020-10-29	23	9599,248743596196
2020-06-24	18	9794,585406850498
2021-01-20	23	9983,3311029754
2020-08-29	21	9635,620089479495
2020-07-15	5	7610,8581667771
2020-06-07	19	9618,6618029362
2020-12-13	16	8892,143293164207
2020-10-29	15	9752,693135903695
2020-10-20	21	9738,711480830894
2020-09-06	2	8124,707450301402
2020-05-12	2	8068,967485520001
2021-01-31	12	8005,153108126785
2020-11-16	16	9757,6318032512
2020-08-15	5	7337,874825315099
2021-02-03	23	9619,720536304301
2021-01-16	8	7906,011925703799
2020-10-17	11	8752,083472040998
2020-10-08	15	9289,143637800405
