,0
2019-04-27,-3816.939114906825
2019-04-28,-16383.261972049688
2019-04-29,4119.485170807457
2019-04-30,6597.310885093146
2019-05-01,-4836.103400621156
2019-05-02,7221.5380279502715
2019-05-03,4603.553742236021
2019-05-04,-1960.2248291925353
2019-05-05,-14618.394829192548
2019-05-06,3351.513742236013
2019-05-07,6470.472313664592
2019-05-08,6975.545170807454
2019-05-09,6773.846599378885
2019-05-10,833.1394565217197
2019-05-11,-4856.849114906858
2019-05-12,-16849.72197204968
2019-05-13,1866.5851708074624
2019-05-14,4463.786599378858
2019-05-15,5404.958027950284
2019-05-16,6227.219456521736
2019-05-17,-993.6762577639893
2019-05-18,-8485.509114906832
2019-05-19,-15398.796257763985
2019-05-20,2801.9280279502855
2019-05-21,79.88088509318186
2019-05-22,13727.79802795028
2019-05-23,11917.139456521749
2019-05-24,7604.325170807453
2019-05-25,-2065.706257763988
2019-05-26,-13411.08482919258
2019-05-27,6126.80802795029
2019-05-28,5901.172313664574
2019-05-29,4415.633742236008
2019-05-30,-1727.3476863354153
2019-05-31,-5238.987686335429
2019-06-01,-10273.829239130457
2019-06-02,-20006.000667701883
2019-06-03,-6781.286381987593
2019-06-04,-948.7992391304579
2019-06-05,-2299.42781055902
2019-06-06,1433.313618012413
2019-06-07,1006.8707608695549
2019-06-08,-2901.4120962733286
2019-06-09,-13478.129239130445
2019-06-10,2136.0236180124048
2019-06-11,8618.115046583844
2019-06-12,6334.840760869527
2019-06-13,6124.385046583833
2019-06-14,3937.686475155264
2019-06-15,-5428.572096273303
2019-06-16,-17488.44352484474
2019-06-17,8423.86790372667
2019-06-18,2953.5236180124048
2019-06-19,2794.5236180124048
2019-06-20,2398.3550465838343
2019-06-21,2016.1721894409566
2019-06-22,-9523.384953416185
2019-06-23,-18214.124953416176
2019-06-24,5523.16361801239
2019-06-25,6940.952189440955
2019-06-26,10853.910760869534
2019-06-27,13486.205046583811
2019-06-28,5907.457903726667
2019-06-29,-12920.117810559052
2019-06-30,-14896.420667701896
2019-07-01,5667.642189440958
2019-07-02,11030.129332298122
2019-07-03,6408.73504658381
2019-07-04,5821.246475155262
2019-07-05,900.0121894409531
2019-07-06,-5335.402096273319
2019-07-07,-14115.189239130472
2019-07-08,7519.476475155243
2019-07-09,5160.477903726685
2019-07-10,8150.85790372669
2019-07-11,9559.023618012405
2019-07-12,5501.472189440945
2019-07-13,-3406.694953416154
2019-07-14,-15878.564953416178
2019-07-15,2218.366475155257
2019-07-16,-2429.1978105590388
2019-07-17,8843.826475155249
2019-07-18,4762.157903726678
2019-07-19,3842.7550465838285
2019-07-20,-3750.0263819876127
2019-07-21,-8149.3592391304555
2019-07-22,11469.813618012413
2019-07-23,13552.31218944097
2019-07-24,10854.5879037267
2019-07-25,10364.657903726678
2019-07-26,4913.800760869548
2019-07-27,-5496.862096273311
2019-07-28,-14803.414953416184
2019-07-29,2398.7236180123873
2019-07-30,2566.2650465838087
2019-07-31,5328.836475155229
2019-08-01,7527.100760869536
2019-08-02,1682.9750465838006
2019-08-03,-6497.626381987589
2019-08-04,-16829.77923913044
2019-08-05,2888.9564751552825
2019-08-06,4933.02647515526
2019-08-07,3882.133618012391
2019-08-08,9083.976475155272
2019-08-09,5940.392189440958
2019-08-10,1319.766475155251
2019-08-11,-15525.573524844716
2019-08-12,4009.350760869507
2019-08-13,3376.989332298108
2019-08-14,1636.2093322981382
2019-08-15,-2256.190667701885
2019-08-16,2305.7636180123955
2019-08-17,-3910.834953416168
2019-08-18,-13801.337810559024
2019-08-19,8181.2379037266655
2019-08-20,2542.722189440974
2019-08-21,4594.169332298101
2019-08-22,3430.4350465838215
2019-08-23,-4823.516381987603
2019-08-24,-9506.46352484473
2019-08-25,-16745.082096273312
2019-08-26,-429.4406677018851
2019-08-27,1927.5050465838285
2019-08-28,633.7993322981056
2019-08-29,2701.7064751552534
2019-08-30,-1082.3206677018898
2019-08-31,-8491.020667701901
2019-09-01,-15759.140047095774
2019-09-02,4554.971381475654
2019-09-03,3329.9899529042304
2019-09-04,4151.888524332811
2019-09-05,8790.29566718993
2019-09-06,4551.815667189949
2019-09-07,-1481.3929042386007
2019-09-08,-16277.272904238635
2019-09-09,4045.7585243328067
