time,down2total,lat,lon
2020-06-04,0.73847115,-33.5,-70.625
2020-06-05,0.7587584,-33.5,-70.625
2020-06-06,0.63635856,-33.5,-70.625
2020-06-07,0.7442268,-33.5,-70.625
2020-06-08,0.47553244,-33.5,-70.625
2020-06-09,0.69879806,-33.5,-70.625
2020-06-10,0.75968885,-33.5,-70.625
2020-06-11,0.63635904,-33.5,-70.625
2020-06-12,0.60766,-33.5,-70.625
2020-06-13,0.7573596,-33.5,-70.625
2020-06-14,0.7609724,-33.5,-70.625
2020-06-15,0.43081063,-33.5,-70.625
2020-06-16,0.5916132,-33.5,-70.625
2020-06-17,0.22973394,-33.5,-70.625
2020-06-18,0.25211093,-33.5,-70.625
2020-06-19,0.27514157,-33.5,-70.625
2020-06-20,0.23760027,-33.5,-70.625
2020-06-21,0.6277834,-33.5,-70.625
2020-06-22,0.26269442,-33.5,-70.625
2020-06-23,0.3597082,-33.5,-70.625
2020-06-24,0.33520722,-33.5,-70.625
2020-06-25,0.61390126,-33.5,-70.625
2020-06-26,0.49648264,-33.5,-70.625
2020-06-27,0.3766538,-33.5,-70.625
2020-06-28,0.4132564,-33.5,-70.625
2020-06-29,0.22539975,-33.5,-70.625
2020-06-30,0.5985544,-33.5,-70.625
2020-07-01,0.3079655,-33.5,-70.625
2020-07-02,0.7370614,-33.5,-70.625
2020-07-03,0.7128519,-33.5,-70.625
2020-07-04,0.35369185,-33.5,-70.625
2020-07-05,0.65150803,-33.5,-70.625
2020-07-06,0.48381877,-33.5,-70.625
2020-07-07,0.57465136,-33.5,-70.625
2020-07-08,0.565906,-33.5,-70.625
2020-07-09,0.64213717,-33.5,-70.625
2020-07-10,0.41064775,-33.5,-70.625
2020-07-11,0.64099616,-33.5,-70.625
2020-07-12,0.68249637,-33.5,-70.625
2020-07-13,0.75117356,-33.5,-70.625
2020-07-14,0.780133,-33.5,-70.625
2020-07-15,0.7687251,-33.5,-70.625
2020-07-16,0.42526108,-33.5,-70.625
2020-07-17,0.5756032,-33.5,-70.625
2020-07-18,0.37840095,-33.5,-70.625
2020-07-19,0.5668087,-33.5,-70.625
2020-07-20,0.61077434,-33.5,-70.625
2020-07-21,0.4083589,-33.5,-70.625
2020-07-22,0.74468064,-33.5,-70.625
2020-07-23,0.7288914,-33.5,-70.625
2020-07-24,0.74243855,-33.5,-70.625
2020-07-25,0.6686146,-33.5,-70.625
2020-07-26,0.29367107,-33.5,-70.625
2020-07-27,0.60332316,-33.5,-70.625
2020-07-28,0.80750823,-33.5,-70.625
2020-07-29,0.79093504,-33.5,-70.625
2020-07-30,0.49695736,-33.5,-70.625
2020-07-31,0.53348905,-33.5,-70.625
2020-08-01,0.47195733,-33.5,-70.625
2020-08-02,0.5360428,-33.5,-70.625
2020-08-03,0.75370985,-33.5,-70.625
2020-08-04,0.6970216,-33.5,-70.625
2020-08-05,0.58616424,-33.5,-70.625
2020-08-06,0.7671228,-33.5,-70.625
2020-08-07,0.5976243,-33.5,-70.625
2020-08-08,0.6008438,-33.5,-70.625
2020-08-09,0.66408277,-33.5,-70.625
2020-08-10,0.77779263,-33.5,-70.625
2020-08-11,0.79588544,-33.5,-70.625
2020-08-12,0.7776608,-33.5,-70.625
2020-08-13,0.7764999,-33.5,-70.625
2020-08-14,0.7465763,-33.5,-70.625
2020-08-15,0.7994855,-33.5,-70.625
2020-08-16,0.79196745,-33.5,-70.625
2020-08-17,0.78206694,-33.5,-70.625
2020-08-18,0.5083713,-33.5,-70.625
2020-08-19,0.778742,-33.5,-70.625
2020-08-20,0.8028448,-33.5,-70.625
2020-08-21,0.79923683,-33.5,-70.625
2020-08-22,0.7817766,-33.5,-70.625
2020-08-23,0.7109385,-33.5,-70.625
2020-08-24,0.73528016,-33.5,-70.625
2020-08-25,0.6101894,-33.5,-70.625
2020-08-26,0.651748,-33.5,-70.625
2020-08-27,0.76094663,-33.5,-70.625
2020-08-28,0.57347655,-33.5,-70.625
2020-08-29,0.73328376,-33.5,-70.625
2020-08-30,0.8287373,-33.5,-70.625
2020-08-31,0.7712738,-33.5,-70.625
2020-09-01,0.70929074,-33.5,-70.625
2020-09-02,0.7808106,-33.5,-70.625
2020-09-03,0.7709817,-33.5,-70.625
2020-09-04,0.74376774,-33.5,-70.625
2020-09-05,0.71513313,-33.5,-70.625
2020-09-06,0.7758702,-33.5,-70.625
2020-09-07,0.7478588,-33.5,-70.625
2020-09-08,0.3962455,-33.5,-70.625
2020-09-09,0.7700575,-33.5,-70.625
2020-09-10,0.78359145,-33.5,-70.625
2020-09-11,0.8047663,-33.5,-70.625
2020-09-12,0.80733675,-33.5,-70.625
2020-09-13,0.80887145,-33.5,-70.625
2020-09-14,0.80401397,-33.5,-70.625
2020-09-15,0.7673954,-33.5,-70.625
2020-09-16,0.76939183,-33.5,-70.625
2020-09-17,0.79353535,-33.5,-70.625
2020-09-18,0.80851084,-33.5,-70.625
2020-09-19,0.79724056,-33.5,-70.625
2020-09-20,0.780773,-33.5,-70.625
2020-09-21,0.7464824,-33.5,-70.625
2020-09-22,0.74470115,-33.5,-70.625
2020-09-23,0.6969722,-33.5,-70.625
2020-09-24,0.62142605,-33.5,-70.625
2020-09-25,0.7108897,-33.5,-70.625
2020-09-26,0.78884304,-33.5,-70.625
2020-09-27,0.8000185,-33.5,-70.625
2020-09-28,0.7797414,-33.5,-70.625
2020-09-29,0.75802964,-33.5,-70.625
2020-09-30,0.6905925,-33.5,-70.625
2020-10-01,0.7842094,-33.5,-70.625
2020-10-02,0.7883829,-33.5,-70.625
2020-10-03,0.7898024,-33.5,-70.625
2020-10-04,0.8232201,-33.5,-70.625
2020-10-05,0.7083688,-33.5,-70.625
2020-10-06,0.77767634,-33.5,-70.625
2020-10-07,0.8032368,-33.5,-70.625
2020-10-08,0.8117132,-33.5,-70.625
2020-10-09,0.8137588,-33.5,-70.625
2020-10-10,0.8063545,-33.5,-70.625
2020-10-11,0.81523246,-33.5,-70.625
2020-10-12,0.80972946,-33.5,-70.625
2020-10-13,0.76857,-33.5,-70.625
2020-10-14,0.7018398,-33.5,-70.625
2020-10-15,0.7493529,-33.5,-70.625
2020-10-16,0.75515825,-33.5,-70.625
2020-10-17,0.7941257,-33.5,-70.625
2020-10-18,0.7972848,-33.5,-70.625
2020-10-19,0.78714323,-33.5,-70.625
2020-10-20,0.80509776,-33.5,-70.625
2020-10-21,0.79424316,-33.5,-70.625
2020-10-22,0.80875635,-33.5,-70.625
2020-10-23,0.7874247,-33.5,-70.625
2020-10-24,0.79435354,-33.5,-70.625
2020-10-25,0.74550647,-33.5,-70.625
2020-10-26,0.7893518,-33.5,-70.625
2020-10-27,0.41929328,-33.5,-70.625
2020-10-28,0.8152282,-33.5,-70.625
2020-10-29,0.80785304,-33.5,-70.625
2020-10-30,0.80056953,-33.5,-70.625
2020-10-31,0.79340833,-33.5,-70.625
2020-11-01,0.78875077,-33.5,-70.625
2020-11-02,0.7874444,-33.5,-70.625
2020-11-03,0.7940347,-33.5,-70.625
2020-11-04,0.6855232,-33.5,-70.625
2020-11-05,0.78477794,-33.5,-70.625
2020-11-06,0.7831923,-33.5,-70.625
2020-11-07,0.7943891,-33.5,-70.625
2020-11-08,0.7833858,-33.5,-70.625
2020-11-09,0.79760146,-33.5,-70.625
2020-11-10,0.7916782,-33.5,-70.625
2020-11-11,0.73088515,-33.5,-70.625
2020-11-12,0.6748539,-33.5,-70.625
2020-11-13,0.6167431,-33.5,-70.625
2020-11-14,0.7911594,-33.5,-70.625
2020-11-15,0.78971153,-33.5,-70.625
2020-11-16,0.7926893,-33.5,-70.625
2020-11-17,0.29245427,-33.5,-70.625
2020-11-18,0.77487314,-33.5,-70.625
2020-11-19,0.76388,-33.5,-70.625
2020-11-20,0.7764469,-33.5,-70.625
2020-11-21,0.81493354,-33.5,-70.625
2020-11-22,0.7491669,-33.5,-70.625
2020-11-23,0.7957528,-33.5,-70.625
2020-11-24,0.80127054,-33.5,-70.625
2020-11-25,0.8103809,-33.5,-70.625
2020-11-26,0.8227111,-33.5,-70.625
2020-11-27,0.8059273,-33.5,-70.625
2020-11-28,0.8061102,-33.5,-70.625
2020-11-29,0.8150036,-33.5,-70.625
2020-11-30,0.80725724,-33.5,-70.625
2020-12-01,0.7818553,-33.5,-70.625
2020-12-02,0.7946481,-33.5,-70.625
2020-12-03,0.79784214,-33.5,-70.625
2020-12-04,0.7932686,-33.5,-70.625
2020-12-05,0.78866863,-33.5,-70.625
2020-12-06,0.7842718,-33.5,-70.625
2020-12-07,0.7933724,-33.5,-70.625
2020-12-08,0.8060879,-33.5,-70.625
2020-12-09,0.8036605,-33.5,-70.625
2020-12-10,0.71732354,-33.5,-70.625
2020-12-11,0.8079818,-33.5,-70.625
2020-12-12,0.8005134,-33.5,-70.625
2020-12-13,0.81368554,-33.5,-70.625
2020-12-14,0.81472856,-33.5,-70.625
2020-12-15,0.8053209,-33.5,-70.625
2020-12-16,0.79606634,-33.5,-70.625
2020-12-17,0.7927634,-33.5,-70.625
2020-12-18,0.7786173,-33.5,-70.625
2020-12-19,0.8042091,-33.5,-70.625
2020-12-20,0.80778277,-33.5,-70.625
2020-12-21,0.8050369,-33.5,-70.625
2020-12-22,0.7985117,-33.5,-70.625
2020-12-23,0.80042535,-33.5,-70.625
2020-12-24,0.8010233,-33.5,-70.625
2020-12-25,0.79676443,-33.5,-70.625
2020-12-26,0.78665286,-33.5,-70.625
2020-12-27,0.7746758,-33.5,-70.625
2020-12-28,0.7891631,-33.5,-70.625
2020-12-29,0.78467566,-33.5,-70.625
2020-12-30,0.8274114,-33.5,-70.625
2020-12-31,0.6737916,-33.5,-70.625
2021-01-01,0.7910774,-33.5,-70.625
2021-01-02,0.7689176,-33.5,-70.625
2021-01-03,0.77580845,-33.5,-70.625
2021-01-04,0.7896191,-33.5,-70.625
2021-01-05,0.7963989,-33.5,-70.625
2021-01-06,0.80010563,-33.5,-70.625
2021-01-07,0.7982053,-33.5,-70.625
2021-01-08,0.77691054,-33.5,-70.625
2021-01-09,0.7471134,-33.5,-70.625
2021-01-10,0.7971958,-33.5,-70.625
2021-01-11,0.8052149,-33.5,-70.625
2021-01-12,0.81069607,-33.5,-70.625
2021-01-13,0.8088213,-33.5,-70.625
2021-01-14,0.8068499,-33.5,-70.625
2021-01-15,0.8026289,-33.5,-70.625
2021-01-16,0.80969876,-33.5,-70.625
2021-01-17,0.81625676,-33.5,-70.625
2021-01-18,0.7894536,-33.5,-70.625
2021-01-19,0.6972128,-33.5,-70.625
2021-01-20,0.7761481,-33.5,-70.625
2021-01-21,0.771237,-33.5,-70.625
2021-01-22,0.78395563,-33.5,-70.625
2021-01-23,0.7637474,-33.5,-70.625
2021-01-24,0.7375834,-33.5,-70.625
2021-01-25,0.76523197,-33.5,-70.625
2021-01-26,0.77906,-33.5,-70.625
2021-01-27,0.79036844,-33.5,-70.625
2021-01-28,0.7347502,-33.5,-70.625
2021-01-29,0.6722264,-33.5,-70.625
